,T_hts[0],T_hts[3],T_hts[1],T_hts[2],T_lts[1],T_lts[0],T_fpsc_s,T_vtsc_s,T_shx_psc[0],T_shx_psc[1],T_shx_ssc[0],T_shx_ssc[1],T_fcu_w,T_r_a[0],T_r_a[1],T_r_a[2],T_r_c[0],T_r_c[1],T_r_c[2],T_amb,I_vtsc,I_fpsc,v_ppsc,p_mpsc,v_plc,v_pssc,mdot_o_hts_b,mdot_i_hts_b,b_ac,b_fc
2020-04-10 05:40:00+00:00,52.5,45.4,48.3,47.5,18.8,20.1,12.9,18.6,10.5,10.7,32.5,33.9,25.4,24.375,23.3125,23.375,23.875,23.625,23.625,8.8,94.3583,100.917,0,0.888,0,0,0,0,0,0
2020-04-10 05:41:00+00:00,52.5,45.4,48.3,47.5,18.8,20.1,13.1,18.6,10.7,10.7,32.5,33.9,25.4,24.375,23.3125,23.375,23.875,23.625,23.625,8.8,96.4833,103.75,0,0.8833,0,0,0,0,0,0
2020-04-10 05:42:00+00:00,52.5,45.4,48.3,47.5,18.8,20.1,13.1,18.6,10.8,10.7,32.5,33.9,25.4,24.375,23.3125,23.375,23.875,23.625,23.625,8.9,99.5083,107.417,0,0.888,0,0,0,0,0,0
2020-04-10 05:43:00+00:00,52.5,45.4,48.3,47.5,18.8,20.1,13.1,18.7,10.9,10.8,32.5,33.9,25.4,24.375,23.3125,23.375,23.875,23.625,23.625,8.9,102.242,110.742,0,0.888,0,0,0,0,0,0
2020-04-10 05:44:00+00:00,52.5,45.4,48.3,47.5,18.8,20.1,13.1,18.8,11,10.8,32.5,33.9,25.4,24.375,23.3125,23.375,23.875,23.625,23.625,8.9,104.958,114.225,0,0.8833,0,0,0,0,0,0
2020-04-10 05:45:00+00:00,52.5,45.4,48.3,47.5,18.8,20.1,13.7,19.2,10.8,10.7,32.5,33.9,25.4,24.375,23.3125,23.375,23.875,23.625,23.625,8.9,107.317,117.217,0.5,0.888,0,0,0,0,0,0
2020-04-10 05:46:00+00:00,52.5,45.4,48.3,47.5,18.8,20.1,14.9,20,10.6,10.2,32.5,33.8,25.4,24.375,23.3125,23.375,23.875,23.625,23.625,9,109.4,120.058,0,0.888,0,0,0,0,0,0
2020-04-10 05:47:00+00:00,52.5,45.4,48.3,47.5,18.8,20.1,15.1,19.9,10.8,10.3,32.5,33.8,25.4,24.375,23.3125,23.375,23.875,23.625,23.625,9,112.1,123.408,0,0.888,0,0,0,0,0,0
2020-04-10 05:48:00+00:00,52.5,45.4,48.3,47.5,18.8,20.1,15,20,11,10.4,32.5,33.8,25.4,24.375,23.3125,23.375,23.875,23.625,23.625,9,115.567,127.75,0,0.888,0,0,0,0,0,0
2020-04-10 05:49:00+00:00,52.5,45.4,48.3,47.5,18.8,20.1,14.9,20,11.1,10.4,32.5,33.8,25.4,24.375,23.3125,23.375,23.875,23.625,23.625,9.1,118.342,131.358,0,0.8833,0,0,0,0,0,0
2020-04-10 05:50:00+00:00,52.5,45.3,48.2,47.5,18.8,20.1,14.9,20,11.2,10.5,32.5,33.8,25.4,24.375,23.3125,23.375,23.875,23.625,23.625,9.1,121.708,135.567,0,0.8833,0,0,0,0,0,0
2020-04-10 05:51:00+00:00,52.5,45.3,48.2,47.5,18.8,20.1,15.7,20.4,11.1,10.4,32.5,33.8,25.4,24.375,23.3125,23.375,23.875,23.625,23.625,9.1,124.675,139.408,0.5,0.888,0,0,0,0,0,0
2020-04-10 05:52:00+00:00,52.5,45.3,48.2,47.5,18.8,20.1,17.1,21.1,11.1,10.4,32.5,33.7,25.4,24.375,23.3125,23.375,23.875,23.625,23.625,9.1,128.592,144.192,0,0.8833,0,0,0,0,0,0
2020-04-10 05:53:00+00:00,52.5,45.3,48.2,47.5,18.8,20.1,17.3,21,11.4,10.6,32.5,33.7,25.4,24.375,23.3125,23.375,23.875,23.625,23.625,9.1,133.042,149.508,0,0.888,0,0,0,0,0,0
2020-04-10 05:54:00+00:00,52.5,45.3,48.2,47.5,18.8,20.1,17.1,21.1,11.6,10.6,32.5,33.7,25.4,24.375,23.3125,23.375,23.875,23.625,23.625,9.2,136.275,153.625,0,0.888,0,0,0,0,0,0
